time,host_name,packet_size,min,avg,max,deviation,loss_percent
1,google.com,64,42.442,42.601,43.097,0.245,0
1,iitg.ac.in,64,319.770,319.889,320.302,0.549,0
1,nic.ru,64,146.891,150.201,158.648,2.571,0
1,imare.in,64,200.149,201.576,203.297,0.821,0
1,bewakoof.com,64,12.523,12.653,13.184,0.156,0
1,google.com,64,42.448,42.629,44.184,0.418,0
1,iitg.ac.in,64,319.746,319.964,321.652,0.395,0
1,nic.ru,64,146.866,150.119,152.051,1.866,0
1,imare.in,64,200.893,201.237,202.400,0.643,0
1,bewakoof.com,64,12.500,12.677,12.860,0.120,0
1,google.com,64,41.486,41.551,41.620,0.149,0
1,iitg.ac.in,64,319.710,319.899,320.550,0.470,0
1,nic.ru,64,146.929,149.935,152.089,1.883,0
1,imare.in,64,200.519,201.387,203.590,0.896,0
1,bewakoof.com,64,12.532,12.638,12.788,0.155,0
1,google.com,64,41.467,41.530,41.634,0.174,0
1,iitg.ac.in,64,319.780,319.959,321.334,0.484,0
1,nic.ru,64,146.747,149.930,152.083,1.919,0
1,imare.in,64,201.098,201.562,203.334,0.778,0
1,bewakoof.com,64,12.564,12.695,12.882,0.139,0
1,google.com,64,41.421,41.521,41.610,0.236,0
1,iitg.ac.in,64,319.737,319.893,320.118,0.601,0
1,nic.ru,64,146.836,149.593,151.778,1.927,0
1,imare.in,64,201.095,202.121,206.410,1.162,0
1,bewakoof.com,64,12.544,14.112,41.951,6.387,0
1,google.com,64,42.503,42.613,43.580,0.290,0
1,iitg.ac.in,64,319.758,319.893,320.096,0.741,0
1,nic.ru,64,146.788,149.316,152.050,1.903,0
1,imare.in,64,200.838,201.740,204.075,0.913,0
1,bewakoof.com,64,12.548,12.661,12.856,0.178,0
1,google.com,64,42.144,42.215,42.412,0.193,0
1,iitg.ac.in,64,319.785,319.937,320.550,0.572,0
1,nic.ru,64,146.892,148.669,150.131,1.358,0
1,imare.in,64,200.872,201.765,203.452,0.879,0
1,bewakoof.com,64,12.483,12.653,13.194,0.182,0
1,google.com,64,42.180,42.233,42.425,0.046,0
1,iitg.ac.in,64,319.764,320.016,323.161,1.063,0
1,nic.ru,64,146.787,148.773,150.253,1.403,0
1,imare.in,64,200.912,201.648,203.075,0.831,0
1,bewakoof.com,64,12.578,12.648,12.760,0.127,0
1,google.com,64,42.220,42.316,42.547,0.185,0
1,iitg.ac.in,64,319.776,319.885,320.001,0.365,0
1,nic.ru,64,146.900,150.103,151.542,1.582,0
1,imare.in,64,200.854,201.502,202.413,0.649,0
1,bewakoof.com,64,12.500,12.642,12.834,0.155,0
1,google.com,64,42.066,42.188,42.262,0.263,0
1,iitg.ac.in,64,319.784,319.884,320.010,0.363,0
1,nic.ru,64,146.893,149.481,150.978,1.858,0
1,imare.in,64,200.827,201.688,205.814,1.157,0
1,bewakoof.com,64,12.577,12.685,12.801,0.159,0
1,google.com,64,41.453,41.522,41.588,0.207,0
1,iitg.ac.in,64,319.796,319.887,320.101,0.569,0
1,nic.ru,64,146.820,149.631,151.103,1.808,0
1,imare.in,64,201.134,201.677,202.771,0.674,0
1,bewakoof.com,64,12.555,12.678,13.333,0.188,0
1,google.com,64,42.458,42.534,42.689,0.158,0
1,iitg.ac.in,64,319.752,319.863,320.061,0.697,0
1,nic.ru,64,146.716,148.719,150.474,1.436,0
1,imare.in,64,200.968,201.578,202.668,0.553,0
1,bewakoof.com,64,12.539,12.660,13.001,0.181,0
1,google.com,64,41.466,41.558,41.792,0.114,0
1,iitg.ac.in,64,319.788,319.866,319.994,0.781,0
1,nic.ru,64,146.725,148.250,149.765,1.346,0
1,imare.in,64,200.941,201.622,202.796,0.820,0
1,bewakoof.com,64,12.546,12.656,12.834,0.110,0
1,google.com,64,42.525,42.608,42.775,0.290,0
1,iitg.ac.in,64,319.743,319.924,320.587,0.182,0
1,nic.ru,64,146.735,148.644,149.901,1.300,0
1,imare.in,64,200.964,201.499,202.246,0.382,0
1,bewakoof.com,64,12.493,12.624,12.827,0.130,0
1,google.com,64,42.448,42.532,42.869,0.193,0
1,iitg.ac.in,64,319.751,319.859,320.025,0.405,0
1,nic.ru,64,146.846,148.847,150.682,1.434,10
1,imare.in,64,200.920,202.130,206.410,1.294,0
1,bewakoof.com,64,12.511,12.603,12.675,0.142,0
1,google.com,64,42.429,42.551,42.667,0.111,0
1,iitg.ac.in,64,319.729,320.051,323.537,0.966,0
1,nic.ru,64,146.709,148.783,149.927,1.314,0
1,imare.in,64,200.999,201.603,202.326,0.598,0
1,bewakoof.com,64,12.477,12.616,12.763,0.102,0
1,google.com,64,42.115,42.169,42.235,0.284,0
1,iitg.ac.in,64,319.696,319.819,320.010,0.740,0
1,nic.ru,64,146.738,148.375,149.818,1.400,0
1,imare.in,64,200.958,201.581,204.385,0.841,0
1,bewakoof.com,64,12.503,12.592,12.743,0.105,0
1,google.com,64,42.047,42.192,43.091,0.253,0
1,iitg.ac.in,64,319.731,319.832,320.009,0.719,0
1,nic.ru,64,146.701,148.475,149.759,1.428,0
1,imare.in,64,201.004,201.993,203.853,0.914,0
1,bewakoof.com,64,12.497,12.614,13.181,0.206,0
1,google.com,64,41.679,41.730,41.794,0.216,0
1,iitg.ac.in,64,319.682,319.817,319.959,0.509,0
1,nic.ru,64,146.744,148.834,150.891,1.394,0
1,imare.in,64,200.683,201.518,202.269,0.641,0
1,bewakoof.com,64,12.479,12.618,13.047,0.190,0
1,google.com,64,41.669,41.775,41.858,0.277,0
1,iitg.ac.in,64,319.711,319.897,320.208,0.517,0
1,nic.ru,64,146.767,148.366,149.746,1.412,0
1,imare.in,64,200.897,201.675,204.864,1.053,0
1,bewakoof.com,64,12.512,12.609,12.778,0.102,0
